nu_p,nu_q,N_values,gaps,gap_extrapolated
1,3,3;4;5;6;7,0.11899158;0.09353321;0.09311677;0.08203499;0.08082519,0.08055851
1,5,3;4;5,0.02770232;0.01904592;0.02062640,0.00724748
2,5,4;6;8,0.03637499;0.01870248;0.01396837,-0.01019632
1,7,3;4;5,0.01145614;0.00746623;0.00826779,0.00218097
2,7,4;6,0.07834075;0.07520862,0.06894436
3,7,6,0.01541684,0.01541684
1,9,3;4,0.00601777;0.00385582,-0.00263003
2,9,4;6,0.09353321;0.01015656,-0.15659674
4,9,8,0.00822603,0.00822603
3,11,6,0.07505105,0.07505105
5,11,10,0.00499975,0.00499975
3,13,6,0.00903837,0.00903837
4,15,8,0.01396837,0.01396837
